Player Name,Image,Team,Playing Role,Batting Style,Bowling Style
Mohammad Nabi,,Afghanistan ,Allrounder,Right hand Bat,Right arm Offbreak
Azmatullah Omarzai,,Afghanistan ,Allrounder,Right hand Bat,Right arm Medium fast
Darwish Rasooli,,Afghanistan ,Top order Batter,Right hand Bat,Right arm Offbreak
Fareed Ahmad,,Afghanistan ,Bowler,Left hand Bat,Left arm Fast medium
Fazalhaq Farooqi,,Afghanistan ,Bowler,Right hand Bat,Left arm Fast medium
Gulbadin Naib,,Afghanistan ,Batting Allrounder,Right hand Bat,Right arm Medium fast
Ibrahim Zadran,,Afghanistan ,Opening Batter,Right hand Bat,Right arm Medium fast
Mohammad Saleem,,Afghanistan ,Bowler,Right hand Bat,Right arm Fast
Mujeeb Ur Rahman,,Afghanistan ,Bowler,Right hand Bat,Right arm Offbreak
Najibullah Zadran,,Afghanistan ,Middle order Batter,Left hand Bat,Right arm Offbreak
Naveen-ul-Haq,,Afghanistan ,Bowler,Right hand Bat,Right arm Medium fast
Qais Ahmad,,Afghanistan ,Bowler,Right hand Bat,Legbreak
Rahmanullah Gurbaz,,Afghanistan ,Wicketkeeper Batter,Right hand Bat,
Rashid Khan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/320500/320506.png",Afghanistan ,Bowling Allrounder,Right hand Bat,Legbreak Googly
Usman Ghani,,Afghanistan ,Opening Batter,Right hand Bat,
Hazratullah Zazai,,Afghanistan ,Opening Batter,Left hand Bat,Slow Left arm Orthodox
Aaron Finch,,Australia ,Top order Batter,Right hand Bat,Slow Left arm Orthodox
Pat Cummins,,Australia ,Bowler,Right hand Bat,Right arm Fast
Ashton Agar,,Australia ,Bowler,Left hand Bat,Slow Left arm Orthodox
Tim David,,Australia ,Middle order Batter,Right hand Bat,Right arm Offbreak
Cameron Green,,Australia ,Batting Allrounder,Right hand Bat,Right arm Fast medium
Josh Hazlewood,,Australia ,Bowler,Left hand Bat,Right arm Fast medium
Mitchell Marsh,,Australia ,Allrounder,Right hand Bat,Right arm Medium
Glenn Maxwell,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316657.png",Australia ,Batting Allrounder,Right hand Bat,Right arm Offbreak
Kane Richardson,,Australia ,Bowler,Right hand Bat,Right arm Fast medium
Steven Smith,,Australia ,Middle order Batter,Right hand Bat,Legbreak Googly
Mitchell Starc,,Australia ,Bowler,Left hand Bat,Left arm Fast
Marcus Stoinis,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321500/321596.png",Australia ,Batting Allrounder,Right hand Bat,Right arm Medium
Matthew Wade,,Australia ,Wicketkeeper Batter,Left hand Bat,Right arm Medium
David Warner,,Australia ,Opening Batter,Left hand Bat,Legbreak
Adam Zampa,,Australia ,Bowler,Right hand Bat,Legbreak Googly
Josh Inglis,,Australia ,Wicketkeeper Batter,Right hand Bat,
Shakib Al Hasan,,Bangladesh ,Allrounder,Left hand Bat,Slow Left arm Orthodox
Afif Hossain,,Bangladesh ,Allrounder,Left hand Bat,Right arm Offbreak
Ebadot Hossain,,Bangladesh ,Bowler,Right hand Bat,Right arm Fast medium
Hasan Mahmud,,Bangladesh ,Bowler,Right hand Bat,Right arm Fast medium
Litton Das,,Bangladesh ,Wicketkeeper Batter,Right hand Bat,Right arm Offbreak
Mehidy Hasan Miraz,,Bangladesh ,Allrounder,Right hand Bat,Right arm Offbreak
Mosaddek Hossain,,Bangladesh ,Middle order Batter,Right hand Bat,Right arm Offbreak
Mustafizur Rahman,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319700/319734.png",Bangladesh ,Bowler,Left hand Bat,Left arm Fast medium
Najmul Hossain Shanto,,Bangladesh ,Top order Batter,Left hand Bat,Right arm Offbreak
Nasum Ahmed,,Bangladesh ,Bowler,Left hand Bat,Slow Left arm Orthodox
Nurul Hasan,,Bangladesh ,Wicketkeeper Batter,Right hand Bat,
Shoriful Islam,,Bangladesh ,Bowler,Left hand Bat,Left arm Medium fast
Soumya Sarkar,,Bangladesh ,Middle order Batter,Left hand Bat,Right arm Medium fast
Taskin Ahmed,,Bangladesh ,Bowler,Left hand Bat,Right arm Fast
Yasir Ali,,Bangladesh ,Middle order Batter,Right hand Bat,Right arm Offbreak
Jos Buttler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316642.png",England ,Wicketkeeper Batter,Right hand Bat,
Moeen Ali,,England ,Batting Allrounder,Left hand Bat,Right arm Offbreak
Harry Brook,,England ,Batter,Right hand Bat,Right arm Medium
Sam Curran,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/323100/323113.png",England ,Allrounder,Left hand Bat,Left arm Medium fast
Alex Hales,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316604.png",England ,Opening Batter,Right hand Bat,Right arm Medium
Chris Jordan,,England ,Bowler,Right hand Bat,Right arm Fast medium
Liam Livingstone,,England ,Batting Allrounder,Right hand Bat,"Right arm Offbreak, Legbreak"
Dawid Malan,,England ,Top order Batter,Left hand Bat,Legbreak
Tymal Mills,,England ,Bowler,Right hand Bat,Left arm Fast
Adil Rashid,,England ,Bowler,Right hand Bat,Legbreak
Phil Salt,,England ,Wicketkeeper Batter,Right hand Bat,Right arm Offbreak
Ben Stokes,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319700/319748.png",England ,Allrounder,Left hand Bat,Right arm Fast medium
David Willey,,England ,Bowling Allrounder,Left hand Bat,Left arm Fast medium
Chris Woakes,,England ,Allrounder,Right hand Bat,Right arm Fast medium
Mark Wood,,England ,Bowler,Right hand Bat,Right arm Fast
Jonny Bairstow,,England ,Wicketkeeper Batter,Right hand Bat,Right arm Medium
Reece Topley,,England ,Bowler,Right hand Bat,Left arm Fast medium
Rohit Sharma,,India ,Top order Batter,Right hand Bat,Right arm Offbreak
KL Rahul,,India ,Opening Batter,Right hand Bat,
Arshdeep Singh,,India ,Bowler,Left hand Bat,Left arm Medium fast
Ravichandran Ashwin,,India ,Bowling Allrounder,Right hand Bat,Right arm Offbreak
Yuzvendra Chahal,,India ,Bowler,Right hand Bat,Legbreak Googly
Deepak Hooda,,India ,Allrounder,Right hand Bat,Right arm Offbreak
Dinesh Karthik,,India ,Wicketkeeper Batter,Right hand Bat,Right arm Offbreak
Virat Kohli,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316605.png",India ,Top order Batter,Right hand Bat,Right arm Medium
Bhuvneshwar Kumar,,India ,Bowler,Right hand Bat,Right arm Medium
Mohammed Shami,,India ,Bowler,Right hand Bat,Right arm Fast
Hardik Pandya,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319900/319938.png",India ,Allrounder,Right hand Bat,Right arm Medium fast
Rishabh Pant,,India ,Wicketkeeper Batter,Left hand Bat,
Axar Patel,,India ,Bowling Allrounder,Left hand Bat,Slow Left arm Orthodox
Harshal Patel,,India ,Bowler,Right hand Bat,Right arm Medium
Suryakumar Yadav,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/331100/331163.png",India ,Batter,Right hand Bat,"Right arm Medium, Right arm Offbreak"
Jasprit Bumrah,,India ,Bowler,Right hand Bat,Right arm Fast
Andy Balbirnie,,Ireland squad,Batter,Right hand Bat,Right arm Offbreak
Paul Stirling,,Ireland squad,Batting Allrounder,Right hand Bat,Right arm Offbreak
Mark Adair,,Ireland squad,Bowling Allrounder,Right hand Bat,Right arm Fast medium
Curtis Campher,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321300/321343.png",Ireland squad,Allrounder,Right hand Bat,Right arm Medium fast
Gareth Delany,,Ireland squad,Batting Allrounder,Right hand Bat,Legbreak Googly
George Dockrell,,Ireland squad,Allrounder,Right hand Bat,Slow Left arm Orthodox
Stephen Doheny,,Ireland squad,Opening Batter,Right hand Bat,
Fionn Hand,,Ireland squad,Bowling Allrounder,Right hand Bat,Right arm Medium
Graham Hume,,Ireland squad,Bowler,Left hand Bat,Right arm Fast medium
Josh Little,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319800/319874.png",Ireland squad,Bowler,Right hand Bat,Left arm Fast medium
Barry McCarthy,,Ireland squad,Bowler,Right hand Bat,Right arm Fast medium
Conor Olphert,,Ireland squad,Bowler,Right hand Bat,Right arm Medium
Simi Singh,,Ireland squad,Bowling Allrounder,Right hand Bat,"Right arm Offbreak, Legbreak Googly"
Harry Tector,,Ireland squad,Middle order Batter,Right hand Bat,Right arm Offbreak
Lorcan Tucker,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/339100/339164.png",Ireland squad,Wicketkeeper Batter,Right hand Bat,
Craig Young,,Ireland squad,Bowler,Right hand Bat,Right arm Fast medium
Gerhard Erasmus,,Namibia ,Allrounder,Right hand Bat,Right arm Offbreak
Stephan Baard,,Namibia ,Batter,Right hand Bat,Right arm Medium fast
Karl Birkenstock,,Namibia ,Middle order Batter,Left hand Bat,Right arm Fast medium
Jan Frylinck,,Namibia ,Allrounder,Left hand Bat,Left arm Fast medium
Zane Green,,Namibia ,Wicketkeeper Batter,Left hand Bat,
Divan la Cock,,Namibia ,Opening Batter,Right hand Bat,Legbreak
Jan Nicol Loftie-Eaton,,Namibia ,Batter,Left hand Bat,"Right arm Medium, Legbreak"
Lo-handre Louwrens,,Namibia ,Wicketkeeper Batter,Right hand Bat,
Tangeni Lungameni,,Namibia ,Bowler,Right hand Bat,Left arm Medium
Bernard Scholtz,,Namibia ,Bowler,Right hand Bat,Slow Left arm Orthodox
Ben Shikongo,,Namibia ,Bowler,Right hand Bat,Right arm Medium fast
JJ Smit,,Namibia ,Bowling Allrounder,Right hand Bat,Left arm Medium fast
Ruben Trumpelmann,,Namibia ,Bowler,Right hand Bat,Left arm Fast
Michael van Lingen,,Namibia ,Bowling Allrounder,Left hand Bat,Left arm Medium
David Wiese,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322000/322079.png",Namibia ,Allrounder,Right hand Bat,Right arm Medium fast
Pikky Ya France,,Namibia ,Middle order Batter,Right hand Bat,Right arm Offbreak
Scott Edwards,,Netherlands ,Wicketkeeper Batter,Right hand Bat,
Colin Ackermann,,Netherlands ,Batting Allrounder,Right hand Bat,Right arm Offbreak
Tom Cooper,,Netherlands ,Middle order Batter,Right hand Bat,Right arm Offbreak
Bas de Leede,,Netherlands ,Batting Allrounder,Right hand Bat,Right arm Fast medium
Brandon Glover,,Netherlands ,Bowler,Right hand Bat,Right arm Fast
Fred Klaassen,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/324200/324241.png",Netherlands ,Bowler,Right hand Bat,Left arm Fast medium
Stephan Myburgh,,Netherlands ,Opening Batter,Left hand Bat,Right arm Offbreak
Teja Nidamanuru,,Netherlands ,Allrounder,Right hand Bat,Right arm Offbreak
Max O'Dowd,,Netherlands ,Opening Batter,Right hand Bat,Right arm Offbreak
Tim Pringle,,Netherlands ,Allrounder,Right hand Bat,Slow Left arm Orthodox
Shariz Ahmad,,Netherlands ,Bowler,Left hand Bat,Legbreak Googly
Logan van Beek,,Netherlands ,Bowler,Right hand Bat,Right arm Medium fast
Timm van der Gugten,,Netherlands ,Bowler,Right hand Bat,Right arm Fast medium
Roelof van der Merwe,,Netherlands ,Allrounder,Right hand Bat,Slow Left arm Orthodox
Paul van Meekeren,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322600/322644.png",Netherlands ,Bowler,Right hand Bat,Right arm Fast medium
Vikramjit Singh,,Netherlands ,Opening Batter,Left hand Bat,Right arm Medium fast
Kane Williamson,,New Zealand ,Top order Batter,Right hand Bat,Right arm Offbreak
Finn Allen,,New Zealand ,Top order Batter,Right hand Bat,
Trent Boult,,New Zealand ,Bowler,Right hand Bat,Left arm Fast medium
Michael Bracewell,,New Zealand ,Batting Allrounder,Left hand Bat,Right arm Offbreak
Mark Chapman,,New Zealand ,Allrounder,Left hand Bat,Slow Left arm Orthodox
Devon Conway,,New Zealand ,Wicketkeeper Batter,Left hand Bat,Right arm Medium
Lockie Ferguson,,New Zealand ,Bowler,Right hand Bat,Right arm Fast
Martin Guptill,,New Zealand ,Opening Batter,Right hand Bat,Right arm Offbreak
Adam Milne,,New Zealand ,Bowler,Right hand Bat,Right arm Fast
Daryl Mitchell,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321200/321212.png",New Zealand ,Allrounder,Right hand Bat,Right arm Medium
James Neesham,,New Zealand ,Batting Allrounder,Left hand Bat,Right arm Medium fast
Glenn Phillips,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321200/321223.png",New Zealand ,Wicketkeeper Batter,Right hand Bat,Right arm Offbreak
Mitchell Santner,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319700/319792.png",New Zealand ,Bowling Allrounder,Left hand Bat,Slow Left arm Orthodox
Ish Sodhi,,New Zealand ,Bowler,Right hand Bat,Legbreak
Tim Southee,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316500/316596.png",New Zealand ,Bowler,Right hand Bat,Right arm Medium fast
Babar Azam,,Pakistan ,Batter,Right hand Bat,Right arm Offbreak
Asif Ali,,Pakistan ,Middle order Batter,Right hand Bat,Right arm Offbreak
Haider Ali,,Pakistan ,Middle order Batter,Right hand Bat,
Haris Rauf,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322200/322202.png",Pakistan ,Bowler,Right hand Bat,Right arm Fast
Iftikhar Ahmed,,Pakistan ,Middle order Batter,Right hand Bat,Right arm Offbreak
Khushdil Shah,,Pakistan ,Middle order Batter,Left hand Bat,Slow Left arm Orthodox
Mohammad Haris,,Pakistan ,Middle order Batter,Right hand Bat,Right arm Offbreak
Mohammad Hasnain,,Pakistan ,Bowler,Right hand Bat,Right arm Fast
Mohammad Nawaz,,Pakistan ,Allrounder,Left hand Bat,Slow Left arm Orthodox
Mohammad Rizwan,,Pakistan ,Wicketkeeper Batter,Right hand Bat,
Mohammad Wasim,,Pakistan ,Allrounder,Right hand Bat,Right arm Fast medium
Naseem Shah,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322200/322223.png",Pakistan ,Bowler,Right hand Bat,Right arm Fast
Shadab Khan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/320400/320467.png",Pakistan ,Allrounder,Right hand Bat,Legbreak
Shaheen Shah Afridi,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322200/322250.png",Pakistan ,Bowler,Left hand Bat,Left arm Fast
Shan Masood,,Pakistan ,Opening Batter,Left hand Bat,Right arm Medium fast
Fakhar Zaman,,Pakistan ,Opening Batter,Left hand Bat,Slow Left arm Orthodox
Richie Berrington,,Scotland squad,Top order Batter,Right hand Bat,Right arm Medium fast
Matthew Cross,,Scotland squad,Wicketkeeper Batter,Right hand Bat,
Josh Davey,,Scotland squad,Bowler,Right hand Bat,Right arm Medium fast
Chris Greaves,,Scotland squad,Bowler,Right hand Bat,Legbreak
Hamza Tahir,,Scotland squad,Bowler,Right hand Bat,Slow Left arm Orthodox
Michael Jones,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322400/322444.png",Scotland squad,Top order Batter,Right hand Bat,Right arm Offbreak
Michael Leask,,Scotland squad,Allrounder,Right hand Bat,Right arm Offbreak
Calum MacLeod,,Scotland squad,Top order Batter,Right hand Bat,"Right arm Medium fast, Right arm Offbreak"
Brandon McMullen,,Scotland squad,Batting Allrounder,Right hand Bat,Right arm Medium
George Munsey,,Scotland squad,Opening Batter,Left hand Bat,Right arm Medium fast
Safyaan Sharif,,Scotland squad,Bowler,Right hand Bat,Right arm Medium fast
Chris Sole,,Scotland squad,Bowler,Right hand Bat,Right arm Medium
Craig Wallace,,Scotland squad,Wicketkeeper Batter,Right hand Bat,
Mark Watt,,Scotland squad,Bowler,Left hand Bat,Slow Left arm Orthodox
Brad Wheal,,Scotland squad,Bowler,Right hand Bat,Right arm Fast medium
Temba Bavuma,,South Africa ,Middle order Batter,Right hand Bat,Right arm Medium
Quinton de Kock,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316668.png",South Africa ,Wicketkeeper Batter,Left hand Bat,
Reeza Hendricks,,South Africa ,Opening Batter,Right hand Bat,Right arm Offbreak
Heinrich Klaasen,,South Africa ,Wicketkeeper Batter,Right hand Bat,Right arm Offbreak
Keshav Maharaj,,South Africa ,Bowler,Right hand Bat,Slow Left arm Orthodox
Aiden Markram,,South Africa ,Opening Batter,Right hand Bat,Right arm Offbreak
David Miller,,South Africa ,Middle order Batter,Left hand Bat,Right arm Offbreak
Lungi Ngidi,,South Africa ,Bowler,Right hand Bat,Right arm Fast medium
Anrich Nortje,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322000/322080.png",South Africa ,Bowler,Right hand Bat,Right arm Fast
Wayne Parnell,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316608.png",South Africa ,Bowler,Left hand Bat,Left arm Medium fast
Kagiso Rabada,,South Africa ,Bowler,Left hand Bat,Right arm Fast
Rilee Rossouw,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316651.png",South Africa ,Top order Batter,Left hand Bat,Right arm Offbreak
Tabraiz Shamsi,,South Africa ,Bowler,Right hand Bat,Left arm Wrist spin
Tristan Stubbs,,South Africa ,Wicketkeeper Batter,Right hand Bat,Right arm Offbreak
Dwaine Pretorius,,South Africa ,Bowling Allrounder,Right hand Bat,Right arm Medium fast
Dasun Shanaka,,Sri Lanka ,Allrounder,Right hand Bat,Right arm Medium
Charith Asalanka,,Sri Lanka ,Batting Allrounder,Left hand Bat,Right arm Offbreak
Ashen Bandara,,Sri Lanka ,Middle order Batter,Right hand Bat,Legbreak
Wanindu Hasaranga de Silva,,Sri Lanka ,Allrounder,Right hand Bat,Legbreak
Dhananjaya de Silva,,Sri Lanka ,Allrounder,Right hand Bat,Right arm Offbreak
Asitha Fernando,,Sri Lanka ,Bowler,Right hand Bat,Right arm Medium fast
Chamika Karunaratne,,Sri Lanka ,Bowling Allrounder,Right hand Bat,Right arm Medium fast
Lahiru Kumara,,Sri Lanka ,Bowler,Left hand Bat,Right arm Fast
Kusal Mendis,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319800/319866.png",Sri Lanka ,Wicketkeeper Batter,Right hand Bat,Legbreak
Pathum Nissanka,,Sri Lanka ,Top order Batter,Right hand Bat,
Bhanuka Rajapaksa,,Sri Lanka ,Top order Batter,Left hand Bat,Right arm Medium
Kasun Rajitha,,Sri Lanka ,Bowler,Right hand Bat,Right arm Medium fast
Maheesh Theekshana,,Sri Lanka ,Bowler,Right hand Bat,Right arm Offbreak
Jeffrey Vandersay,,Sri Lanka ,Bowler,Right hand Bat,Legbreak
Dushmantha Chameera,,Sri Lanka ,Bowler,Right hand Bat,Right arm Fast
Binura Fernando,,Sri Lanka ,Bowler,Right hand Bat,Left arm Medium fast
Danushka Gunathilaka,,Sri Lanka ,Allrounder,Left hand Bat,Right arm Offbreak
Pramod Madushan,,Sri Lanka ,Bowler,Right hand Bat,Right arm Medium fast
Dilshan Madushanka,,Sri Lanka ,Bowler,Right hand Bat,Left arm Medium fast
Chundangapoyil Rizwan,,United Arab Emirates ,Middle order Batter,Right hand Bat,Legbreak Googly
Vriitya Aravind,,United Arab Emirates ,Wicketkeeper,Right hand Bat,
Aayan Afzal Khan,,United Arab Emirates ,Bowling Allrounder,Right hand Bat,Slow Left arm Orthodox
Ahmed Raza,,United Arab Emirates ,Bowler,Right hand Bat,Slow Left arm Orthodox
Aryan Lakra,,United Arab Emirates ,Bowler,Left hand Bat,Slow Left arm Orthodox
Basil Hameed,,United Arab Emirates ,Middle order Batter,Right hand Bat,Right arm Offbreak
Chirag Suri,,United Arab Emirates ,Opening Batter,Right hand Bat,"Right arm Offbreak, Legbreak Googly"
Fahad Nawaz,,United Arab Emirates ,Allrounder,Right hand Bat,Slow Left arm Orthodox
Junaid Siddique,,United Arab Emirates ,Bowler,Right hand Bat,Right arm Medium fast
Kashif Daud,,United Arab Emirates ,Bowling Allrounder,Right hand Bat,Right arm Medium fast
Karthik Meiyappan,,United Arab Emirates ,Bowler,Right hand Bat,Legbreak
Muhammad Waseem,,United Arab Emirates ,Opening Batter,Right hand Bat,Right arm Medium
Sabir Ali,,United Arab Emirates ,Bowler,Right hand Bat,Left arm Fast medium
Alishan Sharafu,,United Arab Emirates ,Opening Batter,Right hand Bat,Right arm Medium
Zahoor Khan,,United Arab Emirates ,Bowler,Right hand Bat,Right arm Medium fast
Zawar Farid,,United Arab Emirates ,Bowler,Right hand Bat,Right arm Medium
Nicholas Pooran,,West Indies ,Wicketkeeper Batter,Left hand Bat,Right arm Offbreak
Rovman Powell,,West Indies ,Middle order Batter,Right hand Bat,Right arm Medium fast
Shamarh Brooks,,West Indies ,Top order Batter,Right hand Bat,Legbreak
Yannic Cariah,,West Indies ,Bowler,Left hand Bat,Legbreak
Johnson Charles,,West Indies ,Wicketkeeper Batter,Right hand Bat,
Sheldon Cottrell,,West Indies ,Bowler,Right hand Bat,Left arm Fast medium
Jason Holder,,West Indies ,Bowling Allrounder,Right hand Bat,Right arm Medium fast
Akeal Hosein,,West Indies ,Bowler,Left hand Bat,Slow Left arm Orthodox
Alzarri Joseph,,West Indies ,Bowler,Right hand Bat,Right arm Fast
Brandon King,,West Indies ,Top order Batter,Right hand Bat,
Evin Lewis,,West Indies ,Opening Batter,Left hand Bat,
Kyle Mayers,,West Indies ,Batting Allrounder,Left hand Bat,Right arm Medium
Obed McCoy,,West Indies ,Bowler,Left hand Bat,Left arm Fast medium
Raymon Reifer,,West Indies ,Allrounder,Left hand Bat,Left arm Medium fast
Odean Smith,,West Indies ,Bowling Allrounder,Right hand Bat,Right arm Fast medium
Shimron Hetmyer,,West Indies ,Top order Batter,Left hand Bat,
Craig Ervine,,Zimbabwe squad,Middle order Batter,Left hand Bat,Right arm Offbreak
Ryan Burl,,Zimbabwe squad,Middle order Batter,Left hand Bat,Legbreak
Regis Chakabva,,Zimbabwe squad,Wicketkeeper Batter,Right hand Bat,Right arm Offbreak
Tendai Chatara,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316683.png",Zimbabwe squad,Bowler,Right hand Bat,Right arm Fast medium
Brad Evans,,Zimbabwe squad,Allrounder,Right hand Bat,Right arm Fast
Luke Jongwe,,Zimbabwe squad,Bowler,Right hand Bat,Right arm Fast medium
Clive Madande,,Zimbabwe squad,Wicketkeeper Batter,Right hand Bat,
Wessly Madhevere,,Zimbabwe squad,Allrounder,Right hand Bat,Right arm Offbreak
Wellington Masakadza,,Zimbabwe squad,Bowler,Left hand Bat,Slow Left arm Orthodox
Tony Munyonga,,Zimbabwe squad,Allrounder,Right hand Bat,Right arm Offbreak
Blessing Muzarabani,,Zimbabwe squad,Bowler,Right hand Bat,Right arm Fast medium
Richard Ngarava,,Zimbabwe squad,Bowler,Left hand Bat,Left arm Fast medium
Milton Shumba,,Zimbabwe squad,Top order Batter,Left hand Bat,Slow Left arm Orthodox
Sikandar Raza,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316632.png",Zimbabwe squad,Batting Allrounder,Right hand Bat,Right arm Offbreak
Sean Williams,,Zimbabwe squad,Middle order Batter,Left hand Bat,Slow Left arm Orthodox
